frame,pa_x,pa_y,pa_z,po_a,po_x,po_y,po_z,pav_x,pav_y,pav_z,rsa_x,rsa_y,rsa_z,rso_a,rso_x,rso_y,rso_z,rsav_x,rsav_y,rsav_z,lsa_x,lsa_y,lsa_z,lso_a,lso_x,lso_y,lso_z,lsav_x,lsav_y,lsav_z,lula_x,lula_y,lula_z,lulo_a,lulo_x,lulo_y,lulo_z,lulav_x,lulav_y,lulav_z,llla_x,llla_y,llla_z,lllo_a,lllo_x,lllo_y,lllo_z,lllav_x,lllav_y,lllav_z,lfa_x,lfa_y,lfa_z,lfo_a,lfo_x,lfo_y,lfo_z,lfav_x,lfav_y,lfav_z,label,subject_id
1,-0.989698,-0.102566,0.302988,0.782527,-0.057891,-0.055886,0.617395,0.17347,-0.852077,-0.020034,-0.434136,0.381104,1.972734,0.28746,-0.222724,0.424163,-0.829365,-0.070822,-0.280585,-0.344498,-0.392109,0.658478,1.555244,0.749365,-0.367305,0.281623,-0.473526,-0.113613,0.249479,-0.50229,-0.028757,-0.346498,-0.038282,0.187767,-0.07761,0.606947,0.768333,0.03271,-0.107026,0.137235,-0.028757,-0.346498,-0.038282,0.187767,-0.07761,0.606947,0.768333,-0.029255,-0.123784,-0.23298,0.018203,-0.308612,0.028139,0.311713,-0.176088,-0.228053,-0.905439,-0.113613,0.249479,-0.50229,0,1
2,-0.84276,-0.114067,0.315972,0.782242,-0.062813,-0.061205,0.61677,-0.064248,-0.866512,-0.039455,-0.197598,0.458702,2.148816,0.286267,-0.222129,0.420254,-0.831923,-0.529599,-0.205347,-0.139565,-1.06354,0.519174,2.233561,0.748363,-0.371638,0.279852,-0.472781,-0.514599,0.150463,0.226973,0.250284,-0.246577,-0.254255,0.187961,-0.078587,0.607137,0.768036,-0.062144,-0.106517,0.051092,0.250284,-0.246577,-0.254255,0.187961,-0.078587,0.607137,0.768036,-0.103966,-0.166715,-0.24599,0.006677,-0.032003,0.037611,0.311564,-0.175911,-0.227152,-0.905751,-0.514599,0.150463,0.226973,0,1
3,-0.838953,-0.128047,0.188508,0.782322,-0.067909,-0.067125,0.615512,-0.028646,-0.937954,-0.122577,-0.386678,0.042403,2.285181,0.285449,-0.221514,0.414792,-0.835104,-0.705301,-0.296326,-0.083154,-1.27961,0.171746,2.294778,0.748793,-0.374034,0.275969,-0.472492,-0.411774,-0.217539,0.296363,0.237451,-0.24976,0.041013,0.188461,-0.079036,0.607596,0.767504,-0.089163,-0.076283,-0.023433,0.237451,-0.24976,0.041013,0.188461,-0.079036,0.607596,0.767504,-0.09246,-0.163958,-0.253138,0.020672,-0.056018,2.00E-05,0.311281,-0.175867,-0.22642,-0.90604,-0.411774,-0.217539,0.296363,0,1
4,-0.860077,0.037243,0.121277,0.7825,-0.073219,-0.073551,0.613941,-0.007923,-1.003081,-0.15673,-0.357751,0.222806,2.002031,0.284914,-0.221126,0.409398,-0.838045,-0.686707,-0.278919,-0.036976,-0.642181,0.029786,1.790255,0.749804,-0.37539,0.271097,-0.472635,-0.362624,-0.404158,0.300477,0.096993,-0.318513,0.576866,0.1892,-0.078515,0.608305,0.766814,-0.099528,-0.000141,-0.12216,0.096993,-0.318513,0.576866,0.1892,-0.078515,0.608305,0.766814,-0.062851,-0.150342,-0.260981,-0.065789,0.028752,-0.113333,0.310864,-0.175746,-0.225849,-0.906349,-0.362624,-0.404158,0.300477,0,1
5,-0.822924,0.333512,-0.006855,0.782664,-0.078697,-0.080505,0.612179,0.016893,-1.066793,-0.170508,-0.432848,0.271704,2.116902,0.284606,-0.220987,0.404126,-0.840741,-0.664916,-0.25452,0.003287,-0.61438,0.375429,1.901873,0.749994,-0.377882,0.267615,-0.472331,-0.408439,-0.167901,0.268497,0.125134,-0.321746,0.368008,0.189792,-0.077287,0.608844,0.766364,-0.051746,0.074025,-0.153137,0.125134,-0.321746,0.368008,0.189792,-0.077287,0.608844,0.766364,-0.075086,-0.163257,-0.292688,0.069767,-0.239026,0.011946,0.310411,-0.175597,-0.225336,-0.906661,-0.408439,-0.167901,0.268497,0,1
6,-0.965917,0.589122,0.116143,0.782662,-0.084476,-0.087878,0.610395,0.018126,-1.130118,-0.159228,-0.844138,0.388115,2.366989,0.284339,-0.221162,0.398665,-0.843389,-0.691212,-0.23011,0.029247,-1.073689,0.509684,2.240963,0.750465,-0.380194,0.263271,-0.472169,-0.432828,-0.271074,0.304893,-0.387317,-0.444881,-0.274161,0.19006,-0.076109,0.609479,0.765911,-0.064916,0.095207,-0.120642,-0.387317,-0.444881,-0.274161,0.19006,-0.076109,0.609479,0.765911,-0.084178,-0.18978,-0.250906,0.172138,-0.343208,0.107677,0.310038,-0.175486,-0.224575,-0.906999,-0.432828,-0.271074,0.304893,0,1
7,-1.193641,0.424106,-0.070652,0.783933,-0.090646,-0.096997,0.606484,-0.011855,-1.240398,-0.172969,-1.011286,0.543413,2.361861,0.284047,-0.220229,0.391732,-0.846972,-0.833384,-0.469178,0.01443,-0.855572,0.243628,1.73988,0.75281,-0.382597,0.255674,-0.470668,-0.446892,-0.611493,0.352094,-0.684702,0.02164,-0.058763,0.167569,-0.098728,0.615892,0.763446,-0.006907,0.017734,-0.052638,-0.684702,0.02164,-0.058763,0.167569,-0.098728,0.615892,0.763446,-0.099259,-0.198721,-0.245531,0.093822,-0.187247,0.078836,0.309756,-0.174415,-0.224403,-0.907344,-0.446892,-0.611493,0.352094,0,1
8,-0.940898,0.334875,-0.444566,0.783839,-0.097407,-0.104955,0.604229,-0.029317,-1.262557,-0.203021,-0.756621,0.10299,2.2077,0.284369,-0.218752,0.384131,-0.850721,-0.888629,-0.527439,0.029901,-0.4087,-0.069622,1.585962,0.753369,-0.384408,0.249661,-0.471524,-0.508722,-0.50108,0.278296,-0.839961,0.080898,-0.022629,0.168345,-0.098528,0.615334,0.763751,0.084411,-0.050473,-0.066776,-0.839961,0.080898,-0.022629,0.168345,-0.098528,0.615334,0.763751,-0.112728,-0.179872,-0.242145,-0.026965,0.0176,0.005458,0.309514,-0.174571,-0.223469,-0.907627,-0.508722,-0.50108,0.278296,0,1
9,-1.036045,0.531431,-0.592146,0.783649,-0.104138,-0.112797,0.601935,-0.035375,-1.251044,-0.200619,-0.75388,0.161211,2.253937,0.28487,-0.217355,0.376411,-0.854354,-0.893405,-0.52879,0.058957,-1.034745,-0.050119,2.239398,0.753436,-0.386426,0.244091,-0.472683,-0.53414,-0.448531,0.20885,-1.071105,-0.351561,-0.532025,0.168677,-0.099226,0.615024,0.763838,0.022152,-0.097556,0.032911,-1.071105,-0.351561,-0.532025,0.168677,-0.099226,0.615024,0.763838,-0.107441,-0.172662,-0.232056,-0.064529,-0.005903,-0.050801,0.309156,-0.174761,-0.22283,-0.90787,-0.53414,-0.448531,0.20885,0,1
10,-1.152537,0.655443,-0.558911,0.783252,-0.111467,-0.120686,0.599606,-0.09022,-1.301948,-0.196425,-1.223285,0.434196,2.249468,0.285452,-0.213804,0.368015,-0.858702,-0.919106,-0.794993,-0.03662,-1.203746,0.15179,2.49415,0.754689,-0.386344,0.235841,-0.474933,-0.473004,-0.895379,0.240138,-1.291308,0.250704,-0.788272,0.168311,-0.101344,0.61463,0.763957,-0.004697,-0.1775,0.203283,-1.291308,0.250704,-0.788272,0.168311,-0.101344,0.61463,0.763957,-0.104135,-0.174851,-0.225088,0.050962,-0.261884,-0.077013,0.308874,-0.174907,-0.222204,-0.908091,-0.473004,-0.895379,0.240138,0,1
